street_name,LOCATION,weighted_count
   ACAMA                        ST,11100    ACAMA                        ST,21.0
   ACAMA                        ST,11200    ACAMA                        ST,10.5
   ACAMA                        ST,11600    ACAMA                        ST,7.875
   ACHILLES                     DR,2300    ACHILLES                     DR,17.5
   ACHILLES                     DR,2400    ACHILLES                     DR,7.875
   ACKERMAN                     DR,3700    ACKERMAN                     DR,2.625
   ACKERMAN                     DR,3800    ACKERMAN                     DR,0.0
   ACKERMAN                     DR,3900    ACKERMAN                     DR,5.25
   ACRESITE                     ST,3000    ACRESITE                     ST,0.0
   ADAIR                        ST,1900    ADAIR                        ST,2.625
   ADAIR                        ST,2100    ADAIR                        ST,0.0
   ADAIR                        ST,3600    ADAIR                        ST,0.0
   ADAIR                        ST,3700    ADAIR                        ST,0.0
   ADAIR                        ST,4000    ADAIR                        ST,2.625
   ADDISON                      ST,10700    ADDISON                      ST,3.5
   ADDISON                      ST,11500    ADDISON                      ST,8.75
   ADDISON                      ST,11700    ADDISON                      ST,0.0
   ADDISON                      ST,11800    ADDISON                      ST,0.0
   ADDISON                      ST,11900    ADDISON                      ST,0.0
   ADDISON                      ST,12000    ADDISON                      ST,0.0
   ADDISON                      ST,12300    ADDISON                      ST,7.875
   ADDISON                      ST,12400    ADDISON                      ST,0.0
   ADDISON                      ST,12600    ADDISON                      ST,5.25
   ADDISON                      ST,13000    ADDISON                      ST,2.625
   ADDISON                      WY,1900    ADDISON                      WY,6.125
   ADDISON                      WY,2200    ADDISON                      WY,0.0
   ADDISON                      WY,2300    ADDISON                      WY,2.625
   ADELANTE                     AV,1000    ADELANTE                     AV,7.875
   ADELANTE                     AV,900    ADELANTE                     AV,0.0
   ADINA                        DR,3300    ADINA                        DR,5.25
   ADINA                        DR,3400    ADINA                        DR,0.0
   ADKINS                       AV,2800    ADKINS                       AV,0.0
   ADMIRAL                      AV,12500    ADMIRAL                      AV,5.25
   ADMIRAL                      AV,12800    ADMIRAL                      AV,5.25
   ADMIRAL                      AV,13200    ADMIRAL                      AV,0.0
   AFTON                        PL,6100    AFTON                        PL,36.75
   AFTON                        PL,6200    AFTON                        PL,19.25
   AGATHA                       ST,900    AGATHA                       ST,10.5
   AGNES                        AV,4200    AGNES                        AV,6.125
   AGNES                        AV,4300    AGNES                        AV,0.0
   AGNES                        AV,4400    AGNES                        AV,2.625
   AGNES                        AV,4800    AGNES                        AV,2.625
   AGNES                        AV,4900    AGNES                        AV,0.0
   AGNES                        AV,5200    AGNES                        AV,14.0
   AGNES                        AV,5300    AGNES                        AV,5.25
   AGNES                        AV,5600    AGNES                        AV,0.0
   AGNES                        AV,5700    AGNES                        AV,7.875
   AGNEW                        AV,7500    AGNEW                        AV,5.25
   AGNEW                        AV,7700    AGNEW                        AV,0.0
   AGNEW                        AV,7800    AGNEW                        AV,0.0
   AGNEW                        AV,7900    AGNEW                        AV,0.0
   AGNEW                        AV,8000    AGNEW                        AV,7.875
   AGUILAR                      ST,3800    AGUILAR                      ST,0.0
   AGUSTIN                      PL,12900    AGUSTIN                      PL,5.25
   AIKEN                        AV,2600    AIKEN                        AV,3.5
   AINSWORTH,100    AINSWORTH,0.0
   AINSWORTH                    ST,11800    AINSWORTH                    ST,2.625
   AINSWORTH                    ST,11900    AINSWORTH                    ST,0.0
   AINSWORTH                    ST,12000    AINSWORTH                    ST,0.0
   AINSWORTH                    ST,12100    AINSWORTH                    ST,0.0
   AINSWORTH                    ST,12600    AINSWORTH                    ST,0.0
   AINTREE                      LN,3100    AINTREE                      LN,0.0
   AIRDROME                     ST,5500    AIRDROME                     ST,34.125
   AIRDROME                     ST,5600    AIRDROME                     ST,5.25
   AIRDROME                     ST,5700    AIRDROME                     ST,2.625
   AIRDROME                     ST,5900    AIRDROME                     ST,7.875
   AIRDROME                     ST,6000    AIRDROME                     ST,5.25
   AIRDROME                     ST,8500    AIRDROME                     ST,2.625
   AIRDROME                     ST,8600    AIRDROME                     ST,0.0
   AIRDROME                     ST,8700    AIRDROME                     ST,3.5
   AIRDROME                     ST,9100    AIRDROME                     ST,0.0
   AIRDROME                     ST,9200    AIRDROME                     ST,0.0
   AIRDROME                     ST,9300    AIRDROME                     ST,2.625
   AIRLANE                      AV,7800    AIRLANE                      AV,0.0
   AIRLANE                      AV,7900    AIRLANE                      AV,0.0
   AIRLANE                      AV,8700    AIRLANE                      AV,0.0
   AIROLE                       WY,900    AIROLE                       WY,0.0
   AIRPORT                      BL,7600    AIRPORT                      BL,15.75
   AIRPORT                      BL,7700    AIRPORT                      BL,7.875
   AIRPORT                      BL,7800    AIRPORT                      BL,0.0
   AIRPORT                      BL,7900    AIRPORT                      BL,2.625
   AIRPORT                      BL,8100    AIRPORT                      BL,0.0
   AIRPORT                      BL,8200    AIRPORT                      BL,2.625
   AIRPORT                      BL,8500    AIRPORT                      BL,5.25
   AIRPORT                      BL,8600    AIRPORT                      BL,10.5
   AIRPORT                      BL,8700    AIRPORT                      BL,0.0
   AIRPORT                      BL,9000    AIRPORT                      BL,92.75
   AIRPORT                      BL,9100    AIRPORT                      BL,0.0
   AIRPORT                      BL,9200    AIRPORT                      BL,52.5
   AIRPORT                      BL,9400    AIRPORT                      BL,0.0
   AIRPORT                      BL,9600    AIRPORT                      BL,40.25
   AIRPORT                      BL,9700    AIRPORT                      BL,152.25
   AIRPORT                      BL,9800    AIRPORT                      BL,14.0
   ALADDIN                      ST,5600    ALADDIN                      ST,5.25
   ALADDIN                      ST,5700    ALADDIN                      ST,0.0
   ALAHAMBRA                    AV,5000    ALAHAMBRA                    AV,2.625
   ALAMEDA                      ST,2500    ALAMEDA                      ST,7.875
   ALANDELE                     AV,400    ALANDELE                     AV,0.0
   ALANDELE                     AV,500    ALANDELE                     AV,0.0
   ALANDELE                     AV,800    ALANDELE                     AV,6.125
   ALANDELE                     AV,900    ALANDELE                     AV,2.625
   ALBA                         ST,5300    ALBA                         ST,0.0
   ALBA                         ST,5500    ALBA                         ST,8.75
   ALBA                         ST,5700    ALBA                         ST,5.25
   ALBERS                       ST,11400    ALBERS                       ST,18.375
   ALBERS                       ST,11500    ALBERS                       ST,0.0
   ALBERS                       ST,11900    ALBERS                       ST,0.0
   ALBERS                       ST,12000    ALBERS                       ST,21.0
   ALBERS                       ST,12600    ALBERS                       ST,0.0
   ALBERTA                      DR,12000    ALBERTA                      DR,0.0
   ALBERTA                      DR,12100    ALBERTA                      DR,0.0
   ALBERTINE                    ST,800    ALBERTINE                    ST,0.0
   ALBION                       ST,1700    ALBION                       ST,0.0
   ALBION                       ST,1900    ALBION                       ST,0.0
   ALBRIGHT                     AV,3900    ALBRIGHT                     AV,0.0
   ALCAZAR                      ST,1500    ALCAZAR                      ST,7.875
   ALCAZAR                      ST,2200    ALCAZAR                      ST,0.0
   ALCAZAR                      ST,2400    ALCAZAR                      ST,0.0
   ALCAZAR                      ST,2500    ALCAZAR                      ST,0.0
   ALCAZAR                      ST,2700    ALCAZAR                      ST,6.125
   ALCOTT                       ST,6000    ALCOTT                       ST,0.0
   ALCOTT                       ST,6100    ALCOTT                       ST,5.25
   ALCOTT                       ST,8500    ALCOTT                       ST,10.5
   ALCOTT                       ST,8800    ALCOTT                       ST,10.5
   ALCOTT                       ST,9000    ALCOTT                       ST,11.375
   ALCOTT                       ST,9100    ALCOTT                       ST,2.625
   ALCOTT                       ST,9300    ALCOTT                       ST,5.25
   ALCOTT                       ST,9400    ALCOTT                       ST,2.625
   ALCOTT                       ST,9500    ALCOTT                       ST,0.0
   ALCOTT                       ST,9700    ALCOTT                       ST,0.0
   ALCOVE                       AV,4000    ALCOVE                       AV,5.25
   ALCOVE                       AV,4100    ALCOVE                       AV,0.0
   ALCOVE                       AV,4200    ALCOVE                       AV,7.875
   ALCOVE                       AV,4300    ALCOVE                       AV,0.0
   ALCOVE                       AV,4900    ALCOVE                       AV,0.0
   ALCYONA                      DR,2100    ALCYONA                      DR,0.0
   ALCYONA                      DR,2200    ALCYONA                      DR,0.0
